Réseaux en fibre optique jusqu'à l'abonné (FttH),,,
Informations à l'échelle de l'EPCI,,,
,,,
,,,
Siren EPCI,Nom EPCI,Logements,Établissements
200067346,CA Pornic Agglo Pays de Retz, 39 987    , 1 441    
200067361,CC Grand-Figeac, 28 527    , 1 303    
200067379,CC Côtes de Champagne et Val de Saulx, 5 970    , 265    
200067429,CC Haut Nivernais-Val d'Yonne, 9 648    , 416    
200067437,CA Provence-Alpes-Agglomération, 31 556    , 1 474    
200067445,CC Buëch-Dévoluy, 10 452    , 313    
200067452,CC du Guillestrois et du Queyras, 16 156    , 561    
200067460,CC Loudéac Communauté - Bretagne Centre, 28 968    , 1 497    
200067478,CC Comtal Lot et Truyère, 12 530    , 659    
200067486,CC Bouzonvillois-Trois Frontières, 11 426    , 421    
200067502,CA Saint-Avold Synergie, 26 091    , 1 367    
200067510,CC Monts et Vallées Ouest Creuse, 18 421    , 710    
200067544,CC Creuse Confluence, 12 547    , 480    
200067551,CA Thonon Agglomération, 43 997    , 2 330    
200067593,"CC Chénérailles, Auzances/Bellegarde et Haut Pays Marchois", 11 448    , 392    
200067627,CC Billom Communauté, 12 265    , 421    
200067635,CA Clisson Sèvre et Maine Agglo, 21 879    , 1 321    
200067643,"CC Meurthe, Mortagne, Moselle", 7 455    , 330    
200067650,CC Houve-Pays Boulageois, 10 283    , 358    
200067668,"CC de la Cléry, du Betz et de l'Ouanne", 12 562    , 462    
200067676,CC Canaux et Forêts en Gâtinais, 15 887    , 598    
200067684,"CA Épernay, Coteaux et Plaine de Champagne", 25 151    , 2 222    
200067692,CC Tannay-Brinon-Corbigny, 9 138    , 338    
200067700,CC Sud Nivernais, 12 613    , 472    
200067742,CC Serre-Ponçon, 17 275    , 603    
200067759,CC Vallées et Plateau d'Ardenne, 12 520    , 490    
200067767,CC du Royans-Vercors, 6 058    , 288    
200067783,CC de Hanau-la Petite Pierre, 13 035    , 691    
200067791,CA Pays Foix-Varilhes, 18 090    , 939    
200067817,CC Saône-Beaujolais, 21 070    , 1 483    
200067825,CA Gap-Tallard-Durance, 26 435    , 1 890    
200067841,CC de l'Alsace Bossue, 11 831    , 708    
200067866,CC Sèvre et Loire, 19 074    , 1 186    
200067874,CA de Haguenau, 42 004    , 2 824    
200067882,CC Bazois Loire Morvan, 13 116    , 475    
200067890,CC Morvan Sommets et Grands Lacs, 12 288    , 395    
200067908,CC Amognes Coeur du Nivernais, 5 882    , 233    
200067916,"CC Loire, Vignobles et Nohain", 17 798    , 851    
200067924,CC du Canton d'Erstein, 20 895    , 1 118    
200067932,CA Golfe du Morbihan - Vannes Agglomération, 103 761    , 5 154    
200067940,CC Couserans-Pyrénées, 27 070    , 877    
200067957,CC Haut Chemin-Pays de Pange, 7 619    , 352    
200067965,CA de la Région de Compiègne et de la Basse Automne, 39 992    , 2 541    
200067973,CC Thelloise, 25 362    , 1 153    
200067981,CA Guingamp-Paimpol Armor-Argoat Agglomération, 45 402    , 2 191    
200067999,CA du Beauvaisis, 47 383    , 2 953    
200068005,CC de l'Oise Picarde, 9 442    , 456    
200068047,CA Creil Sud Oise, 33 913    , 1 892    
200068070,CC Loue-Lison, 12 490    , 605    
200068088,"CC Loire, Nièvre et Bertranges", 12 550    , 464    
200068096,CC Champsaur-Valgaudemar, 14 875    , 459    
200068104,CA de la Provence Verte, 48 807    , 2 412    
200068112,CC du Pays de Saverne, 17 067    , 1 070    
200068120,CA Quimper Bretagne Occidentale, 54 296    , 3 476    
200068146,CC Sarrebourg Moselle Sud, 25 428    , 1 284    
200068229,CC des Baronnies en Drôme Provençale, 16 291    , 874    
200068278,CC Berry Loire Puisaye, 11 248    , 434    
200068294,CC des Deux Vallées Vertes, 8 201    , 326    
200068369,CC de Mirecourt Dompaire, 9 829    , 474    
200068377,CC de la Porte des Vosges Méridionales, 16 685    , 952    
200068435,CC Coeur du Perche, 7 462    , 287    
200068443,CC Andaine - Passais, 9 803    , 368    
200068450,CC Argentan Intercom, 18 344    , 1 059    
200068468,CC des Pays de l'Aigle, 14 789    , 755    
200068484,CC des Causses à l'Aubrac, 10 492    , 501    
200068500,CA de Cambrai, 39 430    , 2 122    
200068534,CC Terroir de Caux, 17 175    , 878    
200068542,CC Les Balcons du Dauphiné, 33 169    , 1 631    
200068559,CC de l'Ouest Vosgien, 12 680    , 756    
200068567,CC Les Vals du Dauphiné, 27 792    , 1 442    
