Réseaux en fibre optique jusqu'à l'abonné (FttH),,,,,,,,,,,,
Informations à l'échelle de la commune,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Code commune,Nom commune,Code région,Code département,Siren EPCI,Logements,Établissements,Zones très denses,Engagements L. 33-13,Intentions privées hors engagement L. 33-13,Commune rurale,Commune de montagne,OI 2018 T1
40001,Aire-sur-l'Adour,75,40,200030435, 3 493    , 314    , -    , -    , -    , -    , -    ,
62014,Aire-sur-la-Lys,32,62,200069037, 4 567    , 291    , -    , -    , -    , -    , -    ,THD5
50004,Airel,28,50,200066389, 274    , 8    , -    , -    , -    , 1    , -    ,
60008,Airion,32,60,246000566, 175    , 11    , -    , -    , -    , 1    , -    ,
62015,Airon-Notre-Dame,32,62,200069029, 100    , 2    , -    , -    , -    , 1    , -    ,
62016,Airon-Saint-Vaast,32,62,200069029, 82    , 3    , -    , -    , -    , 1    , -    ,
11002,Airoux,76,11,200035855, 97    , 5    , -    , -    , -    , 1    , -    ,
79005,Airvault,75,79,200041416, 1 684    , 103    , -    , -    , -    , -    , -    ,
21005,Aiserey,27,21,200000925, 536    , 29    , -    , -    , -    , 1    , -    ,
70009,Aisey-et-Richecourt,27,70,200036150, 67    , 4    , -    , -    , -    , 1    , -    ,
21006,Aisey-sur-Seine,27,21,242101434, 129    , 7    , -    , -    , -    , 1    , -    ,
02006,Aisonville-et-Bernoville,32,02,200071983, 137    , 7    , -    , -    , -    , 1    , -    ,
25009,Aïssey,27,25,242504447, 83    , 3    , -    , -    , -    , 1    , -    ,
21007,Aisy-sous-Thil,27,21,200071017, 135    , 5    , -    , -    , -    , 1    , -    ,
89004,Aisy-sur-Armançon,27,89,200039642, 185    , 5    , -    , -    , -    , 1    , -    ,
2B003,Aiti,94,2B,200073138, 68    , -    , -    , -    , -    , 1    , 1    ,
73007,Aiton,84,73,247300676, 587    , 34    , -    , -    , -    , 1    , 1    ,
19002,Aix,75,19,200066744, 262    , 6    , -    , -    , -    , 1    , 1    ,
59004,Aix,32,59,200041960, 445    , 27    , -    , -    , -    , 1    , -    ,
62017,Aix-en-Ergny,32,62,200069235, 131    , 3    , -    , -    , -    , 1    , -    ,
62018,Aix-en-Issart,32,62,200044030, 135    , 8    , -    , -    , -    , 1    , -    ,
13001,Aix-en-Provence,93,13,200054807, 80 512    , 6 592    , -    ,FRTE , -    , -    , -    ,FRTE
63002,Aix-la-Fayette,84,63,200070761, 113    , 1    , -    , -    , -    , 1    , 1    ,
73008,Aix-les-Bains,84,73,200068674, 19 743    , 956    , -    ,FRTE , -    , -    , -    ,FRTE
62019,Aix-Noulette,32,62,246200364, 1 680    , 63    , -    ,FRTE , -    , -    , -    ,
10003,Aix-Villemaur-Pâlis,44,10,241000447, 2 081    , 86    , -    , -    , -    , -    , -    ,
87001,Aixe-sur-Vienne,75,87,248719288, 2 926    , 143    , -    , -    , -    , -    , -    ,
07003,Aizac,84,07,200073245, 150    , 5    , -    , -    , -    , 1    , 1    ,
52005,Aizanville,44,52,245200597, 18    , 1    , -    , -    , -    , 1    , -    ,
36002,Aize,24,36,200068880, 98    , 1    , -    , -    , -    , 1    , -    ,
80014,Aizecourt-le-Bas,32,80,200037059, 31    , 3    , -    , -    , -    , 1    , -    ,
80015,Aizecourt-le-Haut,32,80,200037059, 38    , 3    , -    , -    , -    , 1    , -    ,
02007,Aizelles,32,02,240200592, 59    , 2    , -    , -    , -    , 1    , -    ,
85003,Aizenay,52,85,200072882, 3 872    , 280    , -    , -    , -    , -    , -    ,
27006,Aizier,28,27,200066405, 92    , 3    , -    , -    , -    , 1    , -    ,
02008,Aizy-Jouy,32,02,240200501, 130    , 5    , -    , -    , -    , 1    , -    ,
11003,Ajac,76,11,200071926, 140    , 4    , -    , -    , -    , 1    , -    ,
2A004,Ajaccio,94,2A,242010056, 33 108    , 2 622    , -    ,FRTE , -    , -    , -    ,FRTE
23002,Ajain,75,23,200034825, 523    , 15    , -    ,FRTE , -    , 1    , -    ,
24004,Ajat,75,24,200041150, 245    , 5    , -    , -    , -    , 1    , -    ,
57009,Ajoncourt,44,57,245701206, 51    , 3    , -    , -    , -    , 1    , -    ,
07004,Ajoux,84,07,200071413, 91    , 2    , -    , -    , -    , 1    , 1    ,
11004,Alaigne,76,11,200071926, 214    , 14    , -    , -    , -    , 1    , 1    ,
02009,Alaincourt,32,02,200040426, 218    , 5    , -    , -    , -    , 1    , -    ,
70010,Alaincourt,27,70,200041721, 63    , 3    , -    , -    , -    , 1    , -    ,
57010,Alaincourt-la-Côte,44,57,245701206, 59    , 3    , -    , -    , -    , 1    , -    ,
11005,Alairac,76,11,200035715, 559    , 20    , -    ,FRTE , -    , 1    , -    ,
31005,Alan,76,31,200072643, 209    , 8    , -    , -    , -    , 1    , -    ,
2B005,Alando,94,2B,200073138, 44    , 1    , -    , -    , -    , 1    , 1    ,
2A006,Alata,94,2A,242010056, 1 423    , 82    , -    ,FRTE , -    , 1    , 1    ,FRTE
07005,Alba-la-Romaine,84,07,200071405, 779    , 42    , -    , -    , -    , 1    , -    ,
81003,Alban,76,81,200034031, 563    , 62    , -    , -    , -    , 1    , 1    ,
48001,Albaret-le-Comtal,76,48,200069144, 170    , 4    , -    , -    , -    , 1    , 1    ,
48002,Albaret-Sainte-Marie,76,48,200069185, 322    , 23    , -    , -    , -    , 1    , 1    ,
11006,Albas,76,11,200035863, 92    , 1    , -    , -    , -    , 1    , -    ,
46001,Albas,76,46,244600433, 400    , 18    , -    , -    , -    , -    , -    ,
67003,Albé,44,67,246700777, 374    , 7    , -    , -    , -    , 1    , 1    ,
82001,Albefeuille-Lagarde,76,82,248200099, 287    , 11    , -    ,FRTE , -    , 1    , -    ,
15025,Albepierre-Bredons,84,15,200066637, 273    , 7    , -    , -    , -    , 1    , 1    ,
80016,Albert,32,80,248000747, 5 127    , 310    , -    , -    , -    , -    , -    ,TUD6
2B007,Albertacce,94,2B,200073138, 320    , 4    , -    , -    , -    , 1    , 1    ,
73011,Albertville,84,73,200068997, 10 615    , 834    , -    ,FRTE , -    , -    , 1    ,FRTE
57011,Albestroff,44,57,245701206, 248    , 22    , -    , -    , -    , 1    , -    ,
